Course Info,Student ID
CS- 340-Introduction to Database Systems,441002121
CS- 340-Introduction to Database Systems,431002571
CS- 340-Introduction to Database Systems,442004401
CS- 340-Introduction to Database Systems,451001731
CS- 340-Introduction to Database Systems,412004541
CS- 340-Introduction to Database Systems,431002351
CS- 340-Introduction to Database Systems,451003561
CS- 344-Advanced Programming,441002121
CS- 344-Advanced Programming,431002571
CS- 344-Advanced Programming,442004401
CS- 344-Advanced Programming,412004541
CS- 344-Advanced Programming,411002651
CS- 344-Advanced Programming,431002351
CS- 344-Advanced Programming,451001731
CS- 344-Advanced Programming,451003561
CS- 432-Software Security Engineering,441000201
CS- 432-Software Security Engineering,431000621
CS- 432-Software Security Engineering,411003071
CS- 432-Software Security Engineering,441003371
CS- 432-Software Security Engineering,441003441
CS- 432-Software Security Engineering,411002111
CS- 432-Software Security Engineering,411001091
CS- 432-Software Security Engineering,402004251
CS- 433-Internet Technologies,451003161
CS- 433-Internet Technologies,411001091
CS- 474-Software Design and Architecture,431001111
CS- 474-Software Design and Architecture,431001571
CS- 474-Software Design and Architecture,432004221
CS- 474-Software Design and Architecture,441002351
CS- 478-Software Construction Laboratory,411002151
CS- 478-Software Construction Laboratory,432004221
CS- 478-Software Construction Laboratory,432004361
CS- 478-Software Construction Laboratory,441002121
CS- 480-Advanced Web Applications Engineering,431001571
CS- 480-Advanced Web Applications Engineering,412003641
CS- 480-Advanced Web Applications Engineering,431001111
CS- 480-Advanced Web Applications Engineering,411003071
CS- 480-Advanced Web Applications Engineering,441003441
CS- 480-Advanced Web Applications Engineering,412004231
CS- 480-Advanced Web Applications Engineering,411002151
CS- 490-Internship,411002801
CS- 490-Internship,441003481
CS- 490-Internship,441002121
CS- 498-Senior Project I,451000251
CS- 498-Senior Project I,441000201
CS- 498-Senior Project I,451003551
CS- 498-Senior Project I,432004361
CS- 498-Senior Project I,411002651
CS- 498-Senior Project I,411002111
CS- 498-Senior Project I,411002151
CS- 499-Senior Project II,441003441
CS- 499-Senior Project II,412003391
CS- 499-Senior Project II,412003541
CS- 499-Senior Project II,431000621
CS- 499-Senior Project II,432004221
CS- 499-Senior Project II,431002141
CS- 499-Senior Project II,432004951
CS- 499-Senior Project II,412003641
CS- 499-Senior Project II,411003071
CS- 499-Senior Project II,411001091
CS- 499-Senior Project II,412004231
ENGL. 101-English I,462005631
ENGL. 101-English I,462005721
ENGL_ 10-English Writing I,452005231
ENGL_ 10-English Writing I,461002581
ENGL_ 10-English Writing I,452004901
ENGL_ 10-English Writing I,441000861
ENGL. 102-English II,462005421
ENGL. 102-English II,462006181
ENGL- 103-English Writing II,431002351
ENGL- 103-English Writing II,461002131
ENGL- 103-English Writing II,411003071
ENGL- 103-English Writing II,441001221
ENGL- 103-English Writing II,411002651
ENGL- 103-English Writing II,431002571
ETHC- 303-Ethical and Social Aspects of Computer,451001221
ETHC- 303-Ethical and Social Aspects of Computer,451001211
ETHC- 303-Ethical and Social Aspects of Computer,411002151
ETHC- 303-Ethical and Social Aspects of Computer,431001111
ETHC- 303-Ethical and Social Aspects of Computer,431001571
ETHC- 303-Ethical and Social Aspects of Computer,462006011
ETHC- 303-Ethical and Social Aspects of Computer,432004221
ETHC- 303-Ethical and Social Aspects of Computer,451000801
ETHC- 303-Ethical and Social Aspects of Computer,451003281
ETHC- 303-Ethical and Social Aspects of Computer,432004261
MATH- 26-Introduction to Operations Research,451000251
MATH- 26-Introduction to Operations Research,411001091
MATH- 26-Introduction to Operations Research,451003161
MATH- 26-Introduction to Operations Research,462004471
MATH- 26-Introduction to Operations Research,451001161
MATH- 26-Introduction to Operations Research,451003551
MATH- 26-Introduction to Operations Research,462004921
MATH- 26-Differential and Integral Calculus,441003371
MGT- 101-Entrepreneurship,462005421
MGT- 101-Entrepreneurship,462006021
MGT- 101-Entrepreneurship,462006181
MGT- 101-Entrepreneurship,462005631
MGT- 101-Entrepreneurship,462005721
PE- 101-Physical Education,462006021
PE- 101-Physical Education,462006181
COE- 308-Computer Architecture,431003531
COE- 308-Computer Architecture,431003581
COE- 308-Computer Architecture,431000131
COE- 342-Data & Computer Communication,432005001
COE- 342-Data & Computer Communication,432004461
COE- 342-Data & Computer Communication,432004511
COE- 342-Data & Computer Communication,432004611
COE- 342-Data & Computer Communication,441002121
COE- 344-Computer Networks,431003531
COE- 344-Computer Networks,441000201
COE- 344-Computer Networks,461002581
COE- 344-Computer Networks,451003551
COE- 344-Computer Networks,431003581
COE- 344-Computer Networks,432004701
COE- 344-Computer Networks,431000131
COE- 344-Computer Networks,411001091
COE- 344-Computer Networks,431002141
COE- 402-Advanced Digital Systems Design,412003911
COE- 445-Internet Architecture and Technologies,412003911
